Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
LTS,0,,DIST_KER,,2026,,0.0858,0.0858,0.0858,0.0858,,,,1.06615,0.815225,,,0.815225,,,,,,1.015,,Energy
LTS,0,,DIST_KER,,2027,,0.086,0.086,0.086,0.086,,,,1.05617,0.769134,,,0.769134,,,,,,0.9572,,Energy
LTS,0,,DIST_KER,,2028,,0.0863,0.0863,0.0863,0.0863,,,,1.05478,0.73155,,,0.73155,,,,,,0.9101,,Energy
LTS,0,,DIST_KER,,2029,,0.0865,0.0865,0.0865,0.0865,,,,1.06334,0.702363,,,0.702363,,,,,,0.8735,,Energy
LTS,0,,DIST_KER,,2030,,0.0868,0.0868,0.0868,0.0868,,,,1.06821,0.671985,,,0.671985,,,,,,0.8354,,Energy
LTS,0,,DIST_KER,,2031,,0.0869,0.0869,0.0869,0.0869,,,,1.08122,0.647777,,,0.647777,,,,,,0.805,,Energy
LTS,0,,DIST_KER,,2032,,0.087,0.087,0.087,0.087,,,,1.09109,0.622565,,,0.622565,,,,,,0.7734,,Energy
LTS,0,,DIST_KER,,2033,,0.087,0.087,0.087,0.087,,,,1.09581,0.595482,,,0.595482,,,,,,0.7394,,Energy
LTS,0,,DIST_KER,,2034,,0.0871,0.0871,0.0871,0.0871,,,,1.10519,0.571979,,,0.571979,,,,,,0.71,,Energy
LTS,0,,DIST_KER,,2035,,0.0872,0.0872,0.0872,0.0872,,,,1.11485,0.549506,,,0.549506,,,,,,0.6818,,Energy
LTS,0,,DIST_KER,,2036,,0.0876,0.0876,0.0876,0.0876,,,,1.12538,0.528281,,,0.528281,,,,,,0.6552,,Energy
LTS,0,,DIST_KER,,2037,,0.088,0.088,0.088,0.088,,,,1.13732,0.508463,,,0.508463,,,,,,0.6304,,Energy
LTS,0,,DIST_KER,,2038,,0.0884,0.0884,0.0884,0.0884,,,,1.14926,0.489335,,,0.489335,,,,,,0.6065,,Energy
LTS,0,,DIST_KER,,2039,,0.0888,0.0888,0.0888,0.0888,,,,1.15986,0.470331,,,0.470331,,,,,,0.5827,,Energy
LTS,0,,DIST_KER,,2040,,0.0892,0.0892,0.0892,0.0892,,,,1.1718,0.452546,,,0.452546,,,,,,0.5604,,Energy
LTS,0,,DIST_KER,,2041,,0.0895,0.0895,0.0895,0.0895,,,,1.18727,0.436686,,,0.436686,,,,,,0.5406,,Energy
LTS,0,,DIST_KER,,2042,,0.0897,0.0897,0.0897,0.0897,,,,1.19265,0.417776,,,0.417776,,,,,,0.517,,Energy
LTS,0,,DIST_KER,,2043,,0.09,0.09,0.09,0.09,,,,1.20583,0.402278,,,0.402278,,,,,,0.4976,,Energy
LTS,0,,DIST_KER,,2044,,0.0902,0.0902,0.0902,0.0902,,,,1.20626,0.38326,,,0.38326,,,,,,0.4739,,Energy
LTS,0,,DIST_KER,,2045,,0.0905,0.0905,0.0905,0.0905,,,,1.21905,0.36888,,,0.36888,,,,,,0.456,,Energy
LTS,0,,DIST_KER,,2046,,0.0906,0.0906,0.0906,0.0906,,,,1.23856,0.356935,,,0.356935,,,,,,0.441,,Energy
LTS,0,,DIST_KER,,2047,,0.0906,0.0906,0.0906,0.0906,,,,1.24115,0.340649,,,0.340649,,,,,,0.4207,,Energy
LTS,0,,DIST_KER,,2048,,0.0907,0.0907,0.0907,0.0907,,,,1.24595,0.325682,,,0.325682,,,,,,0.4021,,Energy
LTS,0,,DIST_KER,,2049,,0.0908,0.0908,0.0908,0.0908,,,,1.25299,0.311928,,,0.311928,,,,,,0.385,,Energy
LTS,0,,DIST_KER,,2050,,0.0909,0.0909,0.0909,0.0909,,,,1.25601,0.297789,,,0.297789,,,,,,0.3674,,Energy
LTS,0,,DIST_KER,,2051,,0.0909,0.0909,0.0909,0.0909,,,,1.25601,0.283609,,,0.283609,,,,,,0.3498,,Energy
