Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,Capex2025,FixedOpex2025,VarOpex2025,Opex2025,Externalities2025,Submodel
BAU,78,,DIST_KER,,2033,,0.1027,0.1027,0.1027,0.1027,,,,1.55878,1.10779,,,1.10779,,,,,,1.055,,Energy
BAU,78,,DIST_KER,,2034,,0.105,0.105,0.105,0.105,,,,1.6298,1.12704,,,1.12704,,,,,,1.0506,,Energy
BAU,78,,DIST_KER,,2035,,0.1074,0.1074,0.1074,0.1074,,,,1.704,1.14659,,,1.14659,,,,,,1.0461,,Energy
BAU,78,,DIST_KER,,2036,,0.1098,0.1098,0.1098,0.1098,,,,1.77985,1.16534,,,1.16534,,,,,,1.0406,,Energy
BAU,78,,DIST_KER,,2037,,0.1121,0.1121,0.1121,0.1121,,,,1.85569,1.18225,,,1.18225,,,,,,1.0333,,Energy
BAU,78,,DIST_KER,,2038,,0.1145,0.1145,0.1145,0.1145,,,,1.93481,1.19944,,,1.19944,,,,,,1.0261,,Energy
BAU,78,,DIST_KER,,2039,,0.1168,0.1168,0.1168,0.1168,,,,2.01385,1.21479,,,1.21479,,,,,,1.0171,,Energy
BAU,78,,DIST_KER,,2040,,0.1192,0.1192,0.1192,0.1192,,,,2.09624,1.2304,,,1.2304,,,,,,1.0083,,Energy
BAU,78,,DIST_KER,,2041,,0.1215,0.1215,0.1215,0.1215,,,,2.17848,1.24421,,,1.24421,,,,,,0.998,,Energy
BAU,78,,DIST_KER,,2042,,0.1237,0.1237,0.1237,0.1237,,,,2.26048,1.25624,,,1.25624,,,,,,0.9862,,Energy
BAU,78,,DIST_KER,,2043,,0.126,0.126,0.126,0.126,,,,2.34586,1.26855,,,1.26855,,,,,,0.9748,,Energy
BAU,78,,DIST_KER,,2044,,0.1282,0.1282,0.1282,0.1282,,,,2.43092,1.27912,,,1.27912,,,,,,0.962,,Energy
BAU,78,,DIST_KER,,2045,,0.1305,0.1305,0.1305,0.1305,,,,2.51942,1.28996,,,1.28996,,,,,,0.9495,,Energy
BAU,78,,DIST_KER,,2046,,0.1325,0.1325,0.1325,0.1325,,,,2.60361,1.29713,,,1.29713,,,,,,0.9345,,Energy
BAU,78,,DIST_KER,,2047,,0.1345,0.1345,0.1345,0.1345,,,,2.68918,1.30365,,,1.30365,,,,,,0.9193,,Energy
BAU,78,,DIST_KER,,2048,,0.1366,0.1366,0.1366,0.1366,,,,2.77816,1.31048,,,1.31048,,,,,,0.9045,,Energy
BAU,78,,DIST_KER,,2049,,0.1386,0.1386,0.1386,0.1386,,,,2.86651,1.31572,,,1.31572,,,,,,0.8888,,Energy
BAU,78,,DIST_KER,,2050,,0.1406,0.1406,0.1406,0.1406,,,,2.95624,1.32033,,,1.32033,,,,,,0.873,,Energy
BAU,78,,DIST_KER,,2051,,0.1407,0.1407,0.1407,0.1407,,,,3.00674,1.30669,,,1.30669,,,,,,0.8456,,Energy
BAU,78,,DIST_KER,,2052,,0.1409,0.1409,0.1409,0.1409,,,,3.05947,1.29377,,,1.29377,,,,,,0.8195,,Energy
BAU,78,,DIST_KER,,2053,,0.141,0.141,0.141,0.141,,,,3.11015,1.27975,,,1.27975,,,,,,0.7934,,Energy
